День,Час,Топ 5,Частота,Сума
03.03.2026,Ранок,"україни, трамп, ірану, області, року","[18, 16, 14, 13, 13]",74
03.03.2026,Обід,"україни, року, зеленський, президент, може","[73, 53, 33, 30, 28]",217
03.03.2026,Вечір,"україни, ірану, буде, президент, трамп","[34, 32, 25, 25, 25]",141
04.03.2026,Ранок,"ірану, україни, напрямку, може, року","[22, 20, 15, 12, 11]",80
04.03.2026,Обід,"україни, року, повідомили, нафти, івано","[52, 39, 28, 26, 24]",169
04.03.2026,Вечір,"року, ірану, україни, може, україні","[37, 27, 27, 20, 16]",127
05.03.2026,Ранок,"україни, ірану, сили, оборони, року","[34, 21, 15, 15, 13]",98
05.03.2026,Обід,"україни, року, івано, україні, буде","[68, 40, 28, 28, 28]",192
05.03.2026,Вечір,"україни, року, може, води, трамп","[35, 35, 21, 19, 17]",127
06.03.2026,Ранок,"року, трамп, пряма, мова, україни","[21, 20, 19, 19, 18]",97
06.03.2026,Обід,"україни, року, центру, угорщини, році","[95, 68, 33, 31, 28]",255
06.03.2026,Вечір,"року, україни, міністр, країни, нафти","[46, 38, 30, 23, 20]",157
07.03.2026,Ранок,"україни, атаки, російські, війська, людей","[22, 19, 17, 17, 16]",91
07.03.2026,Обід,"україни, року, році, жінок, ігор","[30, 21, 18, 16, 12]",97
07.03.2026,Вечір,"україни, патона, напрямку, міст, києві","[24, 14, 12, 12, 10]",72
08.03.2026,Ранок,"ірану, людей, іран, вони, каже","[22, 13, 11, 11, 11]",68
08.03.2026,Обід,"україни, фіцо, нафти, вони, нагадаємо","[44, 20, 19, 17, 15]",115
08.03.2026,Вечір,"ірану, сказав, може, року, жінок","[21, 15, 14, 12, 12]",74
09.03.2026,Ранок,"млрд, україни, напрямку, ірану, україна","[43, 21, 19, 19, 18]",120
09.03.2026,Обід,"україни, року, може, млрд, йдеться","[78, 71, 33, 33, 32]",247
09.03.2026,Вечір,"україни, року, вони, раніше, році","[57, 27, 23, 23, 22]",152
