День,Час,Джерело,Посилання,Текст
05.03.2026,Ранок,UP,https://www.pravda.com.ua/news/2026/03/05/8023960/,"Дві людини дістали поранення та вирували пожежі внаслідок російських ударів по Дніпропетровській області. Джерело: голова ОВА Олександр Ганжа в Telegram Деталі: Окупанти атакували чотири райони Дніпропетровщини, застосувавши безпілотниками, артилерію та авіабомби. Пряма мова Ганжі: ""Під масованою атакою був Кривий Ріг. Виникли пожежі. Понівечена інфраструктура. У Верхівцевому Кам'янського району пошкоджена транспортна інфраструктура. Поранені чоловіки 38 і 45 років. Вони лікуватимуться вдома"". Деталі: У Синельниківському районі під ударом була Покровська громада – там загарбники зруйнували приватний будинок, пошкодили пожежну частину та ще 2 будинки. На Нікопольщині потерпали райцентр і Покровська громада – там пошкоджено оселю."
05.03.2026,Ранок,UP,https://www.pravda.com.ua/news/2026/03/05/8023950/,"Лідер Північної Кореї Кім Чен Ин взяв участь у випробуванні стратегічних крилатих ракет з нового есмінця перед його запуском в експлуатацію, зазначивши, що оснащення військово-морського флоту ядерною зброєю просувається ""задовільно"". Джерело: Yonhap із посиланням на центральне інформаційне агентство КНДР KCNA Деталі: За інформацією KCNA, у вівторок і середу Кім оглянув судно Choe Hyon на верфі в західному портовому місті Намфо, щоб перевірити бойову підготовку членів екіпажу та оцінити його оперативні можливості. У середу Кім спостерігав за запуском стратегічних крилатих ракет ""море-земля"" з есмінця, оцінивши випробування як ""основний"" елемент оперативних можливостей військового корабля. Yonhap зазначає, що згадка Північної Кореї про ""стратегічну"" зброю свідчить про те, що вона може мати ядерний потенціал. У квітні минулого року Північна Корея представила багатоцільовий есмінець Choe Hyon водотоннажністю 5000 тонн в рамках зусиль з посилення своєї військово-морської потужності. Після нагляду за випробувальним рейсом у вівторок лідер Північної Кореї назвав есмінець ""новим символом морської оборонної спроможності"". ""Сили нашого флоту для атак з-під води і над водою будуть швидко зростати. Озброєння флоту ядерною зброєю просувається задовільно"", – цитує слова Кіма агентство KCNA. Лідер Північної Кореї закликав будувати два надводні військові кораблі цього ж або вищого класу щороку протягом наступних п'яти років. Кім також оглянув третій есмінець, який будується на верфі, повідомляє KCNA. У червні минулого року Північна Корея спустила на воду ще один есмінець водотоннажністю 5000 тонн, після того, як він перекинувся під час першої спроби спуску на воду в попередньому місяці. Північна Корея посилює військово-морські сили, плануючи побудувати новий військовий корабель того ж класу до жовтня 2026 року. Огляд відбувся після того, як 25 лютого Північна Корея завершила тижневий з'їзд правлячої Трудової партії КНДР. У новому п'ятирічному плані з посилення оборонної потужності Пхеньян пообіцяв продовжувати виробництво ядерної зброї та розробку різних видів стратегічної зброї. Разом з тим KCNA повідомила, що Кім у вівторок спостерігав за змаганнями снайперів з підрозділів Корейської народної армії (КНА) з нагоди ""Дня снайпера"". ""Відзначивши, що влучність стрільби повинна бути символом і ознакою неперевершеної бойової здатності КНА, він дав важливі вказівки щодо підготовки снайперів, здатних влучно стріляти"", – йдеться у повідомленні. Нагадаємо: У грудні минулого року Кім Чен Ин взяв участь у випробуваннях стратегічних крилатих ракет великої дальності, закликавши до ""необмеженого і сталого"" розвитку ядерних бойових сил його держави. Кім напередодні ключового партійного з'їзду активізував свої інспекції військових об'єктів, очевидно, прагнучи продемонструвати досягнення країни в оборонній сфері. Він також оглянув 8700-тонний ""атомний підводний човен зі стратегічними керованими ракетами"", за даними The New York Times, частини до нього могла постачати Росія. Крім того, ввечері 25 лютого північнокорейські сили спеціальних операцій та саперні війська, які брали участь у російсько-українській війні на території Курської області РФ, пройшли з російським триколором по Пхеньяну під час військового параду, присвяченого завершенню IX з'їзду правлячої в КНДР Трудової партії Кореї. В Міністерстві закордонних справ України назвали пропагандистською виставою військовий парад за участю ""курських ветеранів"" у Пхеньяні і нагадали світу про небезпеку співпраці Північної Кореї та Росії."
05.03.2026,Ранок,UP,https://www.pravda.com.ua/news/2026/03/05/8023968/,"Літаки польських Військово-повітряних сил вранці 5 березня вилетіли з країни задля підтримки операцій, пов'язаних з евакуацією польських громадян з Близького Сходу. Джерело: ""Європейська правда"" з посиланням на Оперативне командування Збройних сил Польщі у соцмережі Х Дослівно командування: ""Літаки польських ВПС вилетіли з Польщі для підтримки операцій, пов'язаних з евакуацією польських громадян з Близького Сходу""."
05.03.2026,Ранок,UP,https://www.pravda.com.ua/news/2026/03/05/8023949/,"Reuters пише про те, що оскільки США зосереджені на конфлікті з Іраном, Україна може зіткнутися з критичним дефіцитом американських ракет протиповітряної оборони в той час, коли Росія не демонструє жодних ознак послаблення своєї кампанії щодо ударів по українських містах. Джерело: Reuters із посиланням на українські, європейські, американські джерела З моменту початку ударів США та Ізраїлю по Ірану в суботу Іран випустив сотні балістичних ракет і дронів по країнах Перської затоки. Більшість з них було перехоплено, в тому числі за допомогою ракет-перехоплювачів PAC-3 Patriot, на які Україна покладається для захисту своєї енергетичної та військової інфраструктури від російських балістичних ракет. Приблизно 600 ракет PAC-3s, що виробляються щорічно компанією Lockheed Martin, вже недостатньо для покриття потреб США та їх союзників у Перській затоці, не кажучи вже про потреби України, заявив Сергій Кузан, голова київського аналітичного центру ""Український центр безпеки та співробітництва"". ""Це дуже проста математика війни"", – сказав Кузан, додавши, що французько-італійська система протиповітряної оборони SAMP/T, яка має подібні можливості, не збільшила виробництва достатньо швидко, щоб стати альтернативою. Фабіан Гофманн, докторант Ослоського університету, який спеціалізується на ракетах, сказав, що накопичення запасів Patriot державами Перської затоки означає, що вони навряд чи повністю вичерпаються, особливо з огляду на те, що інтенсивність іранських ракетних обстрілів, здається, зменшується, але з часом їм, можливо, доведеться бути більш вибірковими у їх використанні. За словами Миколи Бєлієскова з державного Національного інституту стратегічних досліджень у Києві, більш масштабного дефіциту можна уникнути, якщо США та Ізраїль зможуть знищити запаси ракет і пускові установки Ірану в найближчі дні. Росія, яка вклала значні кошти у військове виробництво, за даними Києва, випустила понад 700 ракет під час цьогорічної зимової кампанії проти енергетичної інфраструктури України. Минулого місяця вона запустила 32 балістичні ракети за одну ніч. Переважна більшість ракет Patriot, що постачаються Україні, надаються європейськими країнами в рамках ініціативи НАТО PURL, започаткованої минулого року з метою закупівлі для України зброї американського виробництва. За даними Reuters, союзники України зобов'язалися надіслати 37 ракет PAC-3 з часу їх останньої зустрічі в середині лютого. Італія відкинула можливість відібрати у Києва засоби протиповітряної оборони для підтримки країн Перської затоки, за інформацією джерела Reuters, обізнаного з цим питанням. Однак, за словами двох європейських дипломатів, існує занепокоєння, що якщо війна з Іраном затягнеться, затримки з поставками в рамках PURL можуть посилитися, оскільки США вичерпують власні запаси. Високопоставлений представник міністерства оборони США підтвердив Reuters затримки з поставками в рамках PURL, пов'язані з виробництвом, і заявив, що затори можуть погіршитися, якщо війна з Іраном затягнеться. ""Ми можемо випускати тільки певну кількість за раз"", – сказав представник міністерства. Дослівно з публікації: ""США можуть будь-коли і з будь-якої причини скористатися своїм правом на першочергове постачання до інших країн. Хоча Lockheed Martin збільшує виробництво PAC-3 до 2000 одиниць на рік відповідно до угоди, оголошеної в січні, це буде занадто пізно, щоб вирішити проблему дефіциту в цьому році"". Деталі: Reuters додає, що наразі Пентагон не відповів на запит про коментар щодо постачання зброї до України. Нагадаємо: У лютому повідомлялося, що Україна найближчим часом отримає 35 ракет-перехоплювачів до систем протиповітряної оборони Patriot: тридцять від держав-членів Контактної групи з питань оборони України і ще п'ять – додатково від Німеччини. Нідерланди, Велика Британія, Норвегія та Швеція внесли 500 млн доларів (420 млн євро) на закупівлю американської зброї для України у рамках ініціативи PURL. 12 лютого стало відомо, що Британія долучиться до закупівель зброї США для України в рамках PURL і виділить перші 205 млн доларів. Очільниця дипмісії України при НАТО Альона Гетьманчук перерахувала держави, що надали Україні найбільшу допомогу у закупівлі критично необхідної американської зброї, включаючи ППО."
05.03.2026,Ранок,UP,https://www.pravda.com.ua/news/2026/03/05/8023947/,"Генеральний секретар НАТО Марк Рютте назвав Іран одним із ""ключових факторів"" у сприянні війни Росії проти України, за його словами, ""натиск Ізраїлю та США"" послаблять спроможності Ірану щодо України. Джерело: Рютте в інтерв'ю Newsmax Пряма мова Рютте: ""Іран був одним із ключових факторів, що сприяли російській війні проти України, за допомогою цієї зброї знищення, цих дронів. Той факт, що зараз Іран стикається з цим повним натиском Ізраїлю та США, також погіршить його здатність експортувати хаос навіть до Росії, а отже, і до України"". Деталі: Рютте зазначив, що досвід української армії щодо безпілотників нині ""доступний партнерам"" НАТО на Близькому Сході. Пряма мова Рютте: ""…ми всі разом вчимося на прикладі того, що відбувається в Україні. За останні чотири роки ми бачили, як Україна отримала ці знання про технології дронів та протидії дронам, технології, які зараз, по суті, доступні для наших друзів і партнерів на Близькому Сході. Я вважаю це позитивним"". Нагадаємо: Рютте висловлював переконання 24 лютого, що справжній мир у Європі можливий лише за умови справжнього миру в Україні. Також генсек НАТО підтвердив, що Захід розглядає три рівні гарантій безпеки для України. Під час візиту до України він заявив, що знайде понад $15 млрд на закупівлю зброї для ЗСУ."
05.03.2026,Ранок,UP,https://champion.com.ua/ukr/ice-hockey/chempionat-ukrajini-z-hokeyu-odeshchina-peremogla-krizhinku-v-zaklyuchnomu-matchi-regulyarki-1065946,"У середу, 4 березня, відбувся заключний матч регулярного чемпіонату України з хокею, у якому Одещина перемогла Крижинку. Зустріч завершилася з рахунком 2:1. Перші дві третини пройшли за нічийного рахунку 0:0, а в заключному періоді сильнішими виявилися дебютанти першості. Зазначимо, що поєдинок розпочався із суттєвою затримкою через тривалу повітряну тривогу. Чемпіонат України з хокею4 березня Одещина – Крижинка 2:1 (0:0, 0:0, 2:1) Шайби: 1:0 – 48:12 Сидоренко, 1:1 – 52:03 Архипенко, 3:1 – 56:34 Бабинець Як відомо, визначилися всі півфіналісти плейоф чемпіонату України."
05.03.2026,Ранок,UP,https://www.pravda.com.ua/news/2026/03/05/8023965/,"Протягом 4 березня на фронті зафіксували 118 бойових зіткнень з ворогом, найбільше на Покровському напрямку, де відбулося 22 атаки окупантів. Деталі: Загалом протягом минулої доби зафіксовано 118 бойових зіткнень. На Північно–Слобожанському і Курському напрямках минулої доби противник здійснив 124 обстріли, з яких 4 - із застосуванням РСЗВ. Також завдав чотирьох авіаударів із застосуванням 11 КАБ. Протягом доби зафіксовано два боєзіткнення. На Південно–Слобожанському напрямку ворог один раз намагався прорвати оборонні рубежі наших захисників у районі населеного пункту Графське. На Куп'янському напрямку ворог тричі атакував у районах Піщаного, Курилівки та Ківшарівки. На Лиманському напрямку противник атакував три рази. Намагався вклинитися в нашу оборону у районах населених пунктів Дробишеве, Зарічне та Ставки. На Слов'янському напрямку протягом вчорашньої доби українські захисники зупинили шість спроб окупантів просунутися вперед у районах Дронівки, Рай–Олександрівки, Різниківки та Ямполя. На Краматорському напрямку окупанти атакували в бік Оріхово–Василівки, Бондарного та Миколаївки. На Костянтинівському напрямку ворог здійснив 15 атак поблизу Костянтинівки, Плещіївки, Щербинівки, Іллінівки, Русиного Яру та Софіївки. На Покровському напрямку українські захисники зупинили 22 штурмові дії агресора в районах населених пунктів Никанорівка, Родинське, Гришине, Удачне, Муравка, Молодецьке та у бік Червоного Лиману. На Олександрівському напрямку противник атакував сім разів у районах Іванівки, Андріївки–Клевцового, Новогригорівки, Зеленого Гаю, Красногірського, Злагоди та Тернового. На Гуляйпільському напрямку відбулося 14 атак окупантів у районах Гуляйполя, Добропілля, Залізничного та Мирного. На Оріхівському напрямку ворог атак не проводив. На Придніпровському напрямку окупанти атакували двічі - в районах Антонівського моста та острова Білогрудий. На Волинському та Поліському напрямках ознак формування наступальних угруповань ворога не виявлено."
05.03.2026,Обід,UP,https://www.pravda.com.ua/news/2026/03/05/8024056/,"Президент Володимир Зеленський висловив сподівання на припинення блокування кредиту ЄС на 90 млрд ""однією особою"", натякаючи на угорського прем'єра Віктора Орбана, в іншому разі пригрозив, що дасть адресу цієї особи ЗСУ. Джерело: Зеленський під час брифінгу у четвер, повідомляє ""Європейська правда"" з посиланням на ""Інтерфакс Україна"" Деталі: Президент говорив про необхідність внесення українською стороною передплати за замовлені у Швеції та Франції літаки Gripen і Rafale. Пряма мова Зеленського: ""Надіємося, що одна особа в Євросоюзі не буде блокувати 90 млрд, або перший транш з 90 млрд і в українських воїнів буде зброя. Інакше – даємо адресу цієї особи нашим Збройним силам, хлопцям нашим – нехай вони йому дзвонять і з ним спілкуються своєю мовою"". Знати більше: Шкідливо для нас, корисно Орбану. Зеленський має припинити ""годувати"" угорську пропаганду"
05.03.2026,Обід,UP,https://epravda.com.ua/energetika/cina-rosiyskoji-nafti-rizko-pidnyalas-818762,"Ціни на російську нафту Urals піднялись вище 70 доларів за барель, вперше з 2025 року на тлі загострення війн на Близькому Сході та перекритті Ормузької протоки. Про це йдеться у статистиці Trading Economics. Останній раз ціна бареля Urals перевищувала 70 доларів у червні 2025 року. У січні 2026 року російська нафта встановила мінімум і продавалась за 49 доларів/барель. Згідно з даними суднового моніторингу, два російські нафтові вантажі, які прямували до Східної Азії, змінили курс на Індію, що свідчить про те, що Нью-Делі готовий приймати російську нафту в умовах загострення конфлікту на Близькому Сході. Вранці 28 лютого Ізраїль та США завдали ударів по Ірану та ліванській ""Хезболлі"". Після цього Іран атакував Бахрейн та Арабські емірати, а також блокував головну артерію постачання близькосхідної нафти – Ормузьку протоку. У понеділок 2 березня на відкритті торгів ціна на нафту марки Brent підскочила на 13% до рівня понад 82 долари за барель, інафтові ринки готуються до тривалої волатильності та постійних перебоїв у роботі Ормузької протоки. Нафтопереробний завод у Рас-Таннурі в Саудівській Аравії перестав працювати після іранської дронової атаки. У порту Бахрейну атаковано танкер Stena Imperative під прапором США: на борту спалахнула пожежа, але члени екіпажу не постраждали. Катар зупинив виробництво скрапленого природного газу після того, як два дрони Ірану вдарили по енергетичним об'єктам державної QatarEnergy. Державні нафтопереробники Індії та урядовці узгодили план дій через конфлікт навколо Ірану, який майже зупинив потоки нафти через Ормузьку протоку, і тепер знову придивляються до нафти РФ."
05.03.2026,Обід,UP,https://www.pravda.com.ua/news/2026/03/05/8024005/,"Глава МЗС Росії Сергій Лавров заявив, що атмосфера переговорів між США та РФ після зустрічі лідерів на Алясці була конструктивною і товариською, але зараз ""дух Анкориджа випаровується"". Джерело: російське пропагандистське агентство РИА Новости Пряма мова Лаврова: ""Говорять про те, що зруйновано дух Анкориджа через дії США. Знаєте, в Анкориджі дух був далеко не найголовнішим. Дух – це атмосфера, вона була товариською, взаємоповажною, конструктивною. Але дух випаровується. Головне досягнення Анкориджа – не дух (дух, ще раз скажу, випаровується), а головними в Анкориджі були конкретні розуміння, досягнуті на основі пропозицій, внесених президентом Трампом і його командою переговорників"". Деталі: Він додав, що глава РФ Володимир Путін ""не раз коментував, що ті пропозиції ми прийняли"". ""У тому числі й ті аспекти тих пропозицій, які для нас є вже серйозним компромісом"", – заявив Лавров. При цьому він додав, що Москва нібито готова до переговорів щодо врегулювання її війни проти України, але бачить, що перемовини ""дуже часто стають прикриттям для не зовсім дружніх дій"". ""Ну, власне, ми бачимо, як США продовжують надавати і розвідувальні дані українському режиму (так росіяни називають владу України, – ред.), продовжують продавати зброю європейцям, щоб ті потім за свій рахунок передавали її київському режиму… І санкції проти РФ вже далеко не лише спадщина (колишнього президента США Джо, – ред.) Байдена. Все більше серйозних санкцій вводяться вже адміністрацією Трампа. І мета витіснення нас (з енергетичних світових ринків, – ред.) заявляється напряму"", – сказав Лавров."
