Source,Link,Text
UP,https://life.pravda.com.ua/society/v-avstraliji-zhinka-vigadala-sinu-rak-shchob-zbirati-pozhertvi-314683,"В Австралії засудили жінку, яка брехала про рак ока у 6-річного сина, щоб збирати пожертви та фінансувати свій розкішний спосіб життя. Щоб змусити людей повірити в діагноз, вона поголила синові голову та давала йому непотрібні ліки, повідомляють BBC та Australian Broadcasting Corporation. 45-річна мешканка Південної Австралії, ім'я якої не розголошують, вдалася до афери у листопаді 2024 році. Тоді її син травмувався і офтальмолог направив дитину на МРТ, щоб відкинути можливість пошкодження зорових нервів. На обстеженні не виявили жодних проблем, але у жінки виникла ""ідея"". Вона розповіла чоловікові, що у їхнього сина рак – нібито МРТ показала три пухлини на зоровому нерві, тож потрібно пройти вісім курсів променевої терапії. Потім жінка розширила коло обдурених людей – повідомила про ""діагноз"" родичам, друзям та у школі. Згодом вона опублікувала кілька постів у соцмережах із проханням про пожертви на лікування сина, додавши його фото з поголеною головою. Жінка перев'язувала дитині голову і руки, змушувала користуватися кріслом колісним та обмежувала активність, щоб люди думали, ніби він проходить променеву терапію. Вона також давала дитині знеболювальні та дієтичні добавки. У грудні 2024 року жінку заарештували. Правоохоронці виявили, що на банківський рахунок її сина здійснили понад 50 платежів. Грошові пожертви, одна з яких – на суму 3500 доларів, також давали засудженій особисто. У суді дії матері назвали ""жорстокими"" та ""маніпулятивними"". Сторона обвинувачення заявила, що жінка ""егоїстично використовувала сина"" для пожертв, щоб сім'я могла мати ""життя багатих і знаменитих"". Суддя зауважила, що хлопчик зазнав фізичної та психологічної шкоди, оскільки приймав непотрібні ліки, мав обмежену активність та був ізольованим від однолітків. Адвокат жінки заявив, що після пандемії COVID-19 вона стала залежною від азартних ігор, тому ""скористалася"" нещасним випадком із сином для полегшення фінансових труднощів. За його словами, обвинувачена жила не по кишені та мала ""хибне переконання"", що її сім'ї потрібні ""найновіші бренди"". Але нібито не мала наміру завдати шкоди дитині та родині. Сторона захисту також зазначила, що у жінки діагностували межовий розлад особистості. Чоловік обвинуваченої заявив, що вона зруйнувала життя його та їхніх дітей. Спершу він також був підозрюваним, та згодом справу проти нього закрили. Жінка визнала свою провину. Її засудили до 4 років і 3 місяців ув'язнення із правом на умовно-дострокове звільнення в квітні 2027 року. Раніше ми розповідали про блогерку Бель Гібсон, яка симулювала рак мозку і продавала нетрадиційні методи ""зцілення"". Також ми писали про американку Клоддін ""Ді-Ді"" Бланшар, яка вигадала інвалідність своєї доньки Джипсі Роуз, і зрештою загинула від рук бойфренда дівчинки. Жінка мала синдром Мюнхгаузена – люди з цим розладом фантазують про різноманітні хвороби, щоб отримати увагу, співчуття та матеріальні вигоди."
UP,https://www.pravda.com.ua/news/2026/04/29/8032337/,"Російські окупанти вдарили безпілотником по автобусу приватного перевізника в Херсоні вранці 29 квітня. Джерело: начальник Херсонської міської військової адміністрації Ярослав Шанько у соцмережах Деталі: Приблизно о 10.30 середи у Дніпровському районі міста російські терористи вкотре здійснили атаку на громадський транспорт. Повідомляється, що цього разу під удар ворожого безпілотника потрапив автобус приватного перевізника. За словами власника, транспорт відновленню не підлягає. Пряма мова Шанька: ""На щастя, ні водій, ні пасажири не травмувались. Тілесні ушкодження дістав херсонець похилого віку, який перебував на вулиці. Потерпілого ушпиталили""."
UP,https://www.pravda.com.ua/news/2026/04/29/8032336/,"Радник президента України Дмитро Литвин відреагував на пропозицію майбутнього прем'єра Угорщини Петера Мадяра зустрітися з Володимиром Зеленським: каже, що український президент ще не склав графік зустрічей. Джерело: Литвин у коментарі журналістам в середу, повідомляє ""Європейська правда"" Деталі: Литвин зауважив, що ""президент ще не узгоджував графік на червень"". Також він додав, що ""двосторонні зустрічі узгоджуються у двосторонніх контактах"". Напередодні Петер Мадяр прийняв у себе мера українського міста Берегове на Закарпатті та обговорив з ним ситуацію угорської меншини. Мадяр повідомив, що ініціює зустріч з президентом України Володимиром Зеленським на початку червня у Берегові. ""Настав час для України завершити понад десятиліття законодавчих обмежень, а для угорців Закарпаття – відновити усі їхні культурні, мовні, адміністративні й освітні права та стати знову рівноправними й шанованими громадянами України"", – заявив Мадяр. Мер міста Берегове Золтан Баб'як на зустрічі з Мадяром заявив, що в Україні немає жодних утисків угорської національної спільноти. Як відомо, Мадяр одразу після перемоги опозиційної ""Тиси"" на виборах заявив, що для налагодження добросусідських відносин з Україною питання нацменшин потребуватиме врегулювання."
UP,https://epravda.com.ua/power/beb-ogolosilo-konkursi-na-sotni-vakansiy-820986,"Бюро економічної безпеки (БЕБ) відкрило конкурси на 261 вакантну посаду та запровадило програму шестимісячного стажування для молоді на посадах державної служби із перспективою кар'єри на посаді детектива. Про це повідомляє директор відомства Олександр Цивінський. За його словами, бюро шукає детективів, аналітиків, юристів, фахівців із кібербезпеки, внутрішнього контролю, HR та комунікаційників. Крім досвідчених фахівців, БЕБ орієнтується на залучення студентів та випускників. ""Запровадили можливість 6-місячного стажування на посадах державної служби із перспективою продовження кар'єри на посаді детектива. Це практичний досвід і реальний старт професійного шляху"", - зазначив Цивінський. Він додав, що інформацію про кар'єрні можливості вже презентували студентам провідних закладів вищої освіти Львова, зокрема Національного університету ""Львівська політехніка"", ЛНУ ім. Івана Франка, УКУ та Львівського державного університету внутрішніх справ. Наразі Бюро продовжує активне кадрове доукомплектування для посилення аналітичної та правоохоронної складових своєї діяльності. Читайте також: Повний на третину: для боротьби з економічними злочинами немає ні кадрів, ані ресурсів Кабінет міністрів України переглянув граничну чисельність центрального апарату Бюро економічної безпеки, а також його регіональних управлінь."
UP,https://www.pravda.com.ua/news/2026/04/29/8032334/,"Прессекретар правителя Росії Дмитро Пєсков заявив, що парад до 9 травня у Москві пройде у ""скороченому форматі"" через терористичну загрозу і ще тому, що дата не ювілейна. У Санкт-Петербурзі парад також пройде без техніки. Джерело: коментар Пєскова російським ЗМІ передає ""Медуза"", ""Фонтанка"" Деталі: Речник заявив, що причина ""скорочення"" параду – ""оперативна ситуація"". Пряма мова: ""Київський режим, (так росіяни називають українську владу, – ред.) який щодня втрачає землі на полі бою, зараз повністю розгорнув терористичну активність. І тому на тлі цієї терористичної загрози, звісно ж, вживаються всі заходи для мінімізації небезпеки"". Деталі: Він пояснює, що нібито минулоріч минулого року ""ювілейний парад"" був широкоформатний, а цього року дата не ювілейна, тому подія буде у ""скороченому форматі"". Окрім того, видання ""Фонтанка"" повідомило, що на Двірцевій площі в Санкт-Петербурзі парад теж пройде без техніки і без участі курсантів. А кількість глядачів параду скоротять приблизно у 18 разів. Замість спочатку запланованих 5,6 тисячі гостей буде лише одна трибуна на приблизно 300 місць. Рішення ухвалили після наради з питань безпеки. 28 квітня російське Міноборони заявило, що парад 9 травня в Москві пройде без військової техніки та участі курсантів військових училищ через ""поточну ситуацію""."
UP,https://www.pravda.com.ua/news/2026/04/29/8032330/,"Одна з розмов, задокументованих НАБУ у рамках справи ""Мідас"" у квартирі наразі підсанкційного бізнесмена Тимура Міндіча, якого підозрюють у корупції в сфері енергетики, була з жінкою на ім'я Наталя і стосувалась будівництва маєтків ексвіцепрем'єр-міністра Олексія Чернишова, якого підозрюють у зловживанні службовим становищем та одержанні хабаря, Міндіча та ще двох людей, яких називали ""Андрій"" і ""Вова"". Джерело: ""Українська правда"", яка публікує першу частину так званих ""плівок Міндіча"" Деталі: Розмова, задокументована у квартирі Міндіча за адресою Грушевського, 9а, вранці 1 липня 2025 року. Вона велася російською мовою. Близько 11 ранку Міндіч говорить жінкою, яку він називає ""Наталі"" і яка, ймовірно, керує будівництвом кооперативу ""Династія"" – 4 маєтків у Козині під Києвом, які, за даними джерел УП, зводять для президента Володимира Зеленського, ексглави ОП Андрія Єрмака, ексвіцепрем'єр-міністр Олексія Чернишова та самого Міндіча. Ця розмова може бути першим свідченням того, що дані джерел – правда, адже сторони згадують Чернишова, будівництво Міндіча та будівництво Андрія і Вови. Наталя питає Міндіча, що вони мають робити з забудовою, а той каже, що все треба консервувати і згадує ""Макса Донця"" (ймовірно, мова могла йти про керівника особистої охорони президента Максима Донця – ред.), ""Шуру"" і ""Сігізмунда"" (ймовірно, бізнесмена Олександра Цукермана та ексміністра енергетики Германа Галущенка – ред.), з якими пізніше матиме розмови. Міндіч: ""И сейчас надо это все по уму замораживать. Но по уму, чтоб потом и мой, и этот, и этот соседский. И там надо территорию как-то взять под контроль, потому что там ну этот *** что творит, ну как-то натворил"". Наталя: ""Э смотри, сейчас мы там так разгулялись у тебя, что сейчас заморозить, просто так уйти я не представляю, как. Это все пропадет. Если надо консервироваться, значит надо кончить какие-то работы"". Також Міндіч каже, що треба законсервувати і спільну територію – усе на рік. Наталя каже, що туди ""стільки душі вклала"", і це ""жах"", що тепер треба їхати звідти. Наталя: ""Это для меня ужас"". Міндіч: ""А для меня нет? *** тупой, если он вскроется, в деде нами будет ***"" (ймовірно, може мати на увазі Чернишова, щодо якого розслідують кримінальне проваджання, – ред.) Наталя: ""Там вообще, какие ваши фигурируют в деле?"" Міндіч: ""Не, там все так, прораб, ***"". Наталя: ""Все ушли, и этот ушел, и Стеренжик ушел, короче, ладно, надо…"" Міндіч: ""Надо взять твоего, чтобы он общую базу всю законсервировал. Ворота, вода, свет, вот это все нужно как-то законсервировать. Все поуходили, побросали. Все пропадет, нужно довести как-то это все до ума"". Наталя: ""Дело в том, что у них все коробки с антикварной крышей, с фасадом, не пропадет. Пропадет у тебя, у тебя. Потому что у тебя начаты работы и не закончены. Надо закончить до конца лета, пока тепло"". Далі Наталя розповідає, що наразі роблять басейн, і що вона ""не може залишити цю чашу"". Наталя: ""Я всем должна, это кошмар. Они привезли всю эту технологию, всю плитку. Мне сейчас 90 штук надо отдать. Люди приехали работают, ждут. Фасадщики зашли на утепление фасада, 70 штук сейчас надо дать… Славик плюс уже сделал перегородки тебе, привезли эту лестницу, уже сделали. Основное надо сделать – заштукатурить грязной штукатуркой дом основной. Внутри. Она потом высохнет, потом не сможем заменить. И утеплить фасад, все. И на этом можно будет консервировать"". Міндіч цікавиться, чи за рік це все не зіпсується, Наталя запевняє, що ""нічого не буде"". Міндіч також каже, що хоче посадити дерева. Міндіч: ""Значить нужно пол миллиона, правильно?"" Наталя: ""Ну, надо хотя бы 300. 250 – это Славик, и 90 – на бассейн"". Міндіч: ""250 и 90 – 340, 350, плюс еще на эти, на канал. Я тебе дам не только. А что сегодня долги есть?"". Наталя: ""Они здесь уже включены"" Міндіч: ""Давай я тебе 50 сейчас отдам, сегодня"". Наталя: ""А что мене 50? Что мене даст 50? Мне строителям надо отдать 180, что на стройку, и 70 – это утепление фасада"". Міндіч: ""Скажи, тебе надо 300 тысяч дать? Но у меня нет 300 с собой просто. Давай на понедельник тебе 300 тысяч. 350"". Наталя: ""Ну давай 50 отдам Славику завтра, чтоб он просто не стоял"". Міндіч: ""Ану покажи мне, как там внутри. А чей это дом? Это ж не мой"". Наталя: ""Это Андрея. Я ж тоже ему делаю"". (Ймовірно, мова може йти про будинок у кооперативі ""Династія"", який Міндіч з Чернишовим будували для ексглави ОП Андрія Єрмака, – ред.). Далі вони обговорюють два будинки – ""перший"" і ""четвертий"", – де все вже зробили, ""з інженерією всередині, вентиляторами, кондиціонерами, теплою підлогою"". Наталя: ""У Андрея только фасады, внутри просто. А у тебя даже этого нет"". Міндіч: ""Я не могу сейчас строить, потому что кипишь из-за єтого ***. Ну, а он знает, что он пид***с?"" Наталя: ""Я тебе тогда еще говорила, что он пид***ас, когда ты меня туда только послал. Я тебе сказала, что у нас не хватает, блин, я ж вижу, что он творит, даже тут, даже тут, что творит. Теперь тот бегает, плачет. Скажи, что делать с электричеством? Он же, зараза, поотключал. Если до 5-го числа не проплатим, он отключит (ймовірно, мова йде про Чернишова, який своїми проблемами з НАЬУ і САП підставив близьких, які будувати 4 маєтки, – ред.) Далі Міндіч каже про те, що треба все обгородити парканом, ""пса завести"", охорону постійно тримати, щоб ""ніхто не проліз, журналісти-шмурналісти"" (ймовірно, говорить про журналістів ""Бігус.Інфо"", які пізніше опублікували матеріал про кооператив ""Династія"", – ред.) Наталя каже, що на електрику на 4 ділянки ""в місяць треба 120 тисяч"". Міндіч: ""Это все в бюджет 400 тысяч до холодов? 400 тысяч до холодов тебе надо дать?"". Наталя: ""Нет, если с сетями, то это 1 миллион 300"". Міндіч: ""Миллион триста гривен или долларов?"" Далі вони обговорюють, якийсь камінь для фасаду, який постачав єдиний постачальник Сиранчук, і що Наталя з тих кошторисів ""скосила 100 тисяч"". Наталя: ""100 штук он хотел тут заработать на твоем камне. Представляешь, как он зарабатывал на тех домах? Так ты думаешь, что с Чернышова он так скосил? Я видела эти сметы – он так за 7 домов поднял эти деньги"". Міндіч: ""Я думаю, Чернышеву строил за счет нас"". Далі вони обговорюють кам'яні і бетонні роботи. Наталя: ""Он же бросил между тобой и Вовой, уже забетонировал забор. Осталось забор поставить. Тоже тянул, тянул, оставалось 10 м, тоже бросили все, ушли. А почему ушли? Потому что он 2 месяца не платил зарплату людям. Просто 2 месяца. Крышникам тоже 50 штук долг. Они собрались и ушли. Он же всем должен"". Далі обговорюють, які дерева засадити на першій лінії від Дніпра, які дерева будуть ""у Вови"" і які дерева будуть ""між Тимуром і Вовою"" та інше. Також Міндіч каже, що треба закінчити будівництво, але на когось переоформити, може, на неї – Наталю. У липні 2025 року ці маєтки знайшли журналісти ""Бігус.Інфо"". Далі НАБУ і САП відкрили кримінальну справу. А минулої осені ці маєтки, ще до їх консервації, арештували. Читайте також: Були ""слуги"" – стали ""династія"". Як віцепрем'єр Чернишов під час війни будував котеджне містечко"
UP,https://www.pravda.com.ua/news/2026/04/29/8032332/,"В ніч на 29 квітня фахівці Центру спецоперацій ""А"" Служби безпеки України відпрацювали по лінійній виробничо-диспетчерській станції ""Пермь"", яка розташована за понад 1500 км від кордону з Україною. Джерело: пресслужба СБУ, президент Володимир Зеленський у соцмережах Деталі: Внаслідок атаки дронів СБУ на нафтоперекачувальній станції виникла масштабна пожежа. За попередньою інформацією, горять майже всі резервуари для зберігання нафти, зазначили в пресслужбі. Вказано, що ЛВДС належить АТ ""Транснефть"" і є стратегічно важливим хабом магістральної нафтотранспортної системи РФ. Через станцію нафта розподіляється у чотирьох напрямках, зокрема й до Пермського НПЗ. Про ""далекобійні санкції"" очільник СБУ генерал-майор Євгеній Хмара доповів президенту Володимиру Зеленському. Пряма мова глави держави: ""Відстань по прямій – понад 1500 км. Будемо збільшувати відповідні дистанції, і це цілком справедливі українські відповіді на російський терор. Важливо, що кожне влучання зменшує можливості російської воєнної промисловості, логістики, нафтового експорту. Результати очевидні для всіх. Те, що Росії треба закінчувати свою війну, теж очевидно для всіх. Час переходити до дипломатії, і цей сигнал варто почути Москві"". Що передувало: 29 квітня російська влада заявила про атаку безпілотників на об'єкти в містах Орськ Оренбурзької області та Перм Пермського
краю, що більш ніж за 1500-1800 км від кордону з Україною. Пабліки пишуть про
пожежу на НПЗ ""Орськнафтооргсинтез"", також під атакою міг бути
""ЛУКОЙЛ-Пермнафтооргсинтез""."
UP,https://epravda.com.ua/svit/viyna-v-irani-povertaye-somaliyskih-pirativ-820981,"За даними військово-морських сил Європейського Союзу, які патрулюють регіон Аденської затоки, війна в Ірані сприяє відродженню морського піратства біля узбережжя Сомалі. Про це повідомляє Bloomberg. За даними Британської служби морської торгівлі, лише за останній тиждень було підтверджено щонайменше три випадки захоплення суден: пірати захопили два вантажні судна та один танкер. Напади сталися в Ейлі, Марейо та Гаракаді в напівавтономному регіоні Пунтленд у Сомалі, який наприкінці 2000-х років був притулком піратів. Зростання кількості випадків пов'язане з нестабільністю в регіоні — спочатку через атаки хуситів, а зараз через кризу в Ормузькій протоці, за даними операції ""Аталанта"" військово-морських сил Європейського Союзу, яка патрулює сомалійські води з 2008 року за відсутності місцевого флоту. ""Ця ситуація створює враження, що військова увага відвернута від цього району, тому піратські угруповання розуміють, що у них з'явилося вікно можливостей"", — зазначили в EU Navfor. Сомалі минулого року ухвалила законодавство щодо боротьби з піратством, але покладається на іноземні збройні сили для стримування загрози, оскільки не має можливостей для його виконання. Сомалійські пірати сіяли хаос уздовж східноафриканського узбережжя понад десятиліття, а кількість нападів досягла піку у 2011 році. За даними Wall Street Journal, американський президент Дональд Трамп доручив своїм помічникам підготуватися до тривалої блокади Ірану на тлі вимог до Тегерану піти на поступки в ядерному питанні."
UKRINFORM,https://www.ukrinform.ua/rubric-world/4117843-kvir-perehopiv-vladu-v-irani-u-hamenei-reuters.html,"Про це повідомляє Reuters із посиланням на джерела, передає Укрінформ. З моменту свого заснування в 1979 році Ісламська Республіка будувалася навколо верховного лідера, який мав незаперечну владу. Однак вбивство аятоли Алі Хаменеї в перший день війни США та Ізраїлю проти Ірану та призначення наступником його пораненого сина Моджтаби ознаменували встановлення нового порядку. Цей порядок, в якому домінують командири КВІР, характеризується відсутністю авторитетного лідера. Моджтаба Хаменеї залишається на вершині системи, але три співрозмовники Reuters, обізнані із внутрішніми обговореннями, повідомляють, що його роль полягає переважно в легітимізації рішень, які ухвалюють його генерали, а не у видачі власних наказів. За словами іранських чиновників та аналітиків, воєнний час сконцентрував владу в країні у вузькому та жорсткому колі, до якого входять Вища рада національної безпеки, канцелярія верховного лідера та КВІР. Останній взяв на себе домінуючу роль як у військовій стратегії, так і в ключових політичних рішеннях, йдеться у публікації. За словами джерел, в умовах війни та відсутності Алі Хаменеї жоден суб’єкт всередині системи не має ані повноважень, ані можливостей чинити опір КВІР, навіть якби й хотів. «Вибір, що стоїть перед іранським керівництвом, більше не полягає у виборі між поміркованою та жорсткою політикою, а між жорсткою та ще жорсткішою лінією… Ця зміна знаменує вирішальну перебудову влади від верховенства духовенства до домінування силових структур», - йдеться у публікації. Експерти підкреслюють, що головною складністю залишається розрив між пропозиціями Вашингтона і позицією жорсткої лінії всередині КВІР щодо мирної угоди. «Іранці надзвичайно повільно реагують. Очевидно, що немає єдиної структури командування, яка б ухвалювала рішення. Іноді їм потрібно від 2 до 3 днів, щоб відповісти», - зазначив пакистанський чиновник в контексті мирних переговорів між Іраном та США. Дипломатичним представником Ірану на переговорах зі США виступав глава МЗС Аббас Арагчі, до якого нещодавно приєднався спікер парламенту Мохаммед Багер Калібаф - екскомандувач КВІР, та ін. Однак, за даними джерел, ключову роль на місцях відіграє командир корпусу Ахмад Вахіді. Хаменеї-молодший після важких поранень внаслідок авіаудару США та Ізраїлю не з’являється на публіці і взаємодіє через представників КВІР або за допомогою захищеного зв’язку. Водночас іранська влада офіційно відкидає наявність розбіжностей щодо переговорів зі США. Як повідомляв Укрінформ, 28 лютого США та Ізраїль завдали спільних ударів по об’єктах режиму в Ірані. Після цього Іран атакував американські бази в Кувейті, ОАЕ, Катарі, Бахрейні та Йорданії. Згодом інформаційне агентство ісламської республіки (IRNA) підтвердило, що верховний лідер Ірану аятола Алі Хаменеї загинув уранці 28 лютого. Новим верховним лідером Іран оголосив його сина Моджтабу Хаменеї. За даними ЗМІ, під час авіаудару по резиденції в центрі Тегерана наприкінці лютого Хаменеї-молодший дістав серйозні поранення обличчя та травму однієї або обох ніг. Деякі джерела припускають, що лідер Ірану міг навіть втратити одну ногу."
UKRINFORM,https://www.ukrinform.ua/rubric-ato/4117833-dla-rekrutingu-inozemciv-na-masni-sturmi-rf-vibuduvala-globalnu-sistemu-torgivli-ludmi.html,"Про це йдеться у звіті Міжнародної федерації за права людини та української правозахисної організації Truth Hounds, презентованому в середу в Києві, передає кореспондент Укрінформу. Правозахисники, посилаючись на дані української влади, наголошують, що загалом Росія залучила щонайменше 27 тисяч іноземців на війну проти України з понад 130 країн (без урахування північнокорейських військ). Найбільшу частку складають громадяни держав Центральної Азії, однак чимало і вихідців з Південної Азії, країн Африки та Латинської Америки. Вони зазначають, що влада РФ вдається до інституціоналізованої системи рекрутингу, яка поєднує призов добровольців та «хижацькі» засоби стосовно соціально та економічно вразливих осіб. Протягом тижнів після підписання контракту про службу в армії РФ командири посилають їх на надзвичайно небезпечні бойові завдання з високою ймовірністю загибелі – «мʼясні штурми». Держава-агресор вдається до рейдів у місця проживання та роботи мігрантів, мечетей, а підписання контракту подавалося затриманим як альтернатива депортації чи кримінальному переслідуванню. Фіксуються і спроби примусу, як-от вилучення документів, фальсифікація обвинувачень, побиття і катування. Операції з переміщення іноземців до РФ проводили також транснаціональні мережі, які часто заманювали людей обманом, обіцяючи цивільну роботу, небойові посади чи доступ до країн ЄС. Усі новобранці зрештою потрапляли до центрів комплектування або військових комплектування РФ, де їм давали на підписання російськомовні контракти без перекладу. Автори документа вважають, що Росія відповідальна за роботу глобальної схеми торгівлі людьми «Звіт руйнує міфи про Росію як друга Глобального Півдня, який веде антиімперіалістичну війну. Документ чітко фіксує, що Росія вдається до всіх можливих засобів для рекрутингу на свою неоколоніальну війну в Україні – чи то йдеться про Кубу, Камерун, Кенію чи Казахстан», – сказав президент Міжнародної федерації Алексіс Десваф. Зазначається, що документ спирається на свідчення військовополонених, інтервʼю з експертами та дослідження з відкритих джерел. Автори зазначають, посилаючись на оцінки України, що щонайменше 3 388 іноземних бійців загинуло в боях. Міжнародна федерація за права людини і Truth Hounds закликають усі країни, де Росія рекрутує громадян на війну, притягнути винних за торгівлю людьми до відповідальності та найманство, а також інформувати своїх громадян про небезпеку. Як повідомляв Укрінформ, на майданчику Анталійського дипломатичного форуму, у ході двосторонніх зустрічей з представниками країн Африки, глава МЗС України Андрій Сибіга порушив питання щодо припинення найманства Росією в країнах Африки."
